PRECIOS PAGADOS EN ASTURIAS. Año 2016;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
703106;Paja de cereales;€/100 kilos;10,07;10,07;10,07;10,07;10,07;10,07;10,41;10,41;10,41;10,6;;;;
703107;Harina de soja;€/100 kilos;41,36;41,36;41,36;41,36;40,82;40,82;41,36;41,36;41,26;41,09;;;;
703111;Pulpa de remolacha;€/100 kilos;28,39;28,39;28,39;28,39;27,29;28,39;27,29;27,89;27,89;27,77;;;;
703113;Alfalfa deshidratada;€/100 kilos;23,28;23,28;23,28;23,28;23,28;23,28;23,81;23,98;24,14;24,14;;;;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;64,93;;;;
703212;Terneros cría;€/100 kilos;32,65;32,65;32,65;32,65;32,86;32,65;32,65;32,86;32,8;32,8;;;;
703213;Terneros recría y cebo;€/100 kilos;29,81;29,81;29,81;29,81;29,91;29,89;29,89;30,81;30,45;30,45;;;;
703214;Vacuno de leche;€/100 kilos;32,32;32,32;32,32;32,32;31,24;31,24;31,24;31,2;30,88;30,9;;;;
703215;Vacuno de carne;€/100 kilos;28,69;28,69;28,69;28,69;28,69;28,69;28,69;28,83;28,98;28,98;;;;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;35,01;35,01;35,01;35,01;35,01;35,01;35,01;35,01;34,8;34,8;;;;
703223;Ovejas y cabras en lactación;€/100 kilos;30,65;30,65;30,65;30,65;30,65;30,65;30,65;30,16;30,39;30,65;;;;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;38,56;38,56;38,56;38,56;39,5;39,5;39,5;38,56;40,24;39,5;;;;
703232;Cerdos crecimiento y cebo;€/100 kilos;32,74;32,74;32,74;32,74;32,74;32,74;32,74;32,71;32,51;32,45;;;;
703233;Cerdos reproductores;€/100 kilos;32,27;32,27;32,27;32,27;32,27;33,31;33,31;32,47;32,27;32,27;;;;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;30,97;;;;
Aves;;;;;;;;;;;;;;;;
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;;;;
703252;Gallinas Ponedoras;€/100 kilos;37,94;38,28;38,28;38,28;38,28;38,28;38,28;38,28;37,79;37,79;;;;
703253;Pollos de carne;€/100 kilos;39,42;39,42;39,42;39,18;40,37;40,37;39,42;38,84;38,48;38,02;;;;
;;;;;;;;;;;;;;;;
Nota: Elabora Sección de Prospectiva y Estadística. Consejería de Desarrollo Rural, Agroganadería y Pesca;;;;;;;;;;;;;;;;
